Problem Name	Problem Link	Topic	Solution Link	Difficulty
K’th largest element in a stream	https://www.geeksforgeeks.org/kth-largest-element-in-a-stream/	Heaps & Hashing		Medium
Connect Ropes	https://www.geeksforgeeks.org/connect-n-ropes-minimum-cost/	Heaps & Hashing		Medium
Cuckoo Hashing	https://www.geeksforgeeks.org/cuckoo-hashing/	Heaps & Hashing		Medium
Itinerary from a List of Tickets	https://www.geeksforgeeks.org/find-itinerary-from-a-given-list-of-tickets/	Heaps & Hashing		Medium
Largest Subarray with 0 Sum	http://geeksforgeeks.org/find-the-largest-subarray-with-0-sum/	Heaps & Hashing		Medium
Count distinct elements in every window of size  k	https://www.geeksforgeeks.org/count-distinct-elements-in-every-window-of-size-k/	Heaps & Hashing		Medium
Group Shifted Strings	https://www.geeksforgeeks.org/group-shifted-string/	Heaps & Hashing		Medium
Merge K Sorted lists	https://leetcode.com/problems/merge-k-sorted-lists/	Heaps & Hashing		Hard
Find Median from Data Stream	https://leetcode.com/problems/find-median-from-data-stream/	Heaps & Hashing		Hard
Sliding Window Maximum	https://www.geeksforgeeks.org/sliding-window-maximum-maximum-of-all-subarrays-of-size-k/	Heaps & Hashing		Hard
Find the smallest positive number	https://www.geeksforgeeks.org/find-the-smallest-positive-number-missing-from-an-unsorted-array/	Heaps & Hashing		Hard
Find Surpasser Count of each element in array	https://www.geeksforgeeks.org/find-surpasser-count-of-each-element-in-array/	Heaps & Hashing		Hard
Tournament Tree and Binary Heap	https://www.geeksforgeeks.org/tournament-tree-and-binary-heap/	Heaps & Hashing		Hard
Check for palindrome	https://www.geeksforgeeks.org/online-algorithm-for-checking-palindrome-in-a-stream/	Heaps & Hashing		Hard
Length of the largest subarray with contiguous elements	https://www.geeksforgeeks.org/length-largest-subarray-contiguous-elements-set-2/	Heaps & Hashing		Hard
Palindrome Substring Queries	https://www.geeksforgeeks.org/palindrome-substring-queries/	Heaps & Hashing		Hard
Subarray distinct elements	https://www.geeksforgeeks.org/subarrays-distinct-elements/	Heaps & Hashing		Hard
Find the recurring function	https://www.geeksforgeeks.org/find-recurring-sequence-fraction/	Heaps & Hashing		Hard
K maximum sum combinations from two arrays	https://www.geeksforgeeks.org/k-maximum-sum-combinations-two-arrays/	Heaps & Hashing		Hard
BFS	https://practice.geeksforgeeks.org/problems/bfs-traversal-of-graph/1	Graphs		Easy
DFS	https://www.geeksforgeeks.org/depth-first-search-or-dfs-for-a-graph/	Graphs		Easy
Flood Fill Algorithm	https://leetcode.com/problems/flood-fill/	Graphs		Easy
Number of Triangles	https://www.geeksforgeeks.org/number-of-triangles-in-directed-and-undirected-graphs/	Graphs		Easy
Detect cycle in a graph	https://www.geeksforgeeks.org/detect-cycle-in-a-graph/	Graphs		Medium
Detect cycle in an undirected graph	https://practice.geeksforgeeks.org/problems/detect-cycle-in-an-undirected-graph/1	Graphs		Medium
Rat in a Maze Problem	https://practice.geeksforgeeks.org/problems/rat-in-a-maze-problem/1	Graphs		Medium
Steps by Knight	https://practice.geeksforgeeks.org/problems/steps-by-knight5927/1	Graphs		Medium
Clone graph	https://leetcode.com/problems/clone-graph/	Graphs		Medium
Number of Operations to Make Network Connected	https://leetcode.com/problems/number-of-operations-to-make-network-connected/	Graphs		Medium
Dijkstra’s shortest path algorithm	https://www.geeksforgeeks.org/dijkstras-shortest-path-algorithm-greedy-algo-7/	Graphs		Medium
Topological Sort	https://practice.geeksforgeeks.org/problems/topological-sort/1	Graphs		Medium
Oliver and the Game	https://www.hackerearth.com/practice/algorithms/graphs/topological-sort/practice-problems/algorithm/oliver-and-the-game-3/	Graphs		Medium
Minimum time taken by each job to be completed given by a Directed Acyclic Graph	https://www.geeksforgeeks.org/minimum-time-taken-by-each-job-to-be-completed-given-by-a-directed-acyclic-graph/	Graphs		Medium
Find whether it is possible to finish all tasks or not from given dependencies	https://www.geeksforgeeks.org/find-whether-it-is-possible-to-finish-all-tasks-or-not-from-given-dependencies/	Graphs		Medium
Find the number of islands	https://practice.geeksforgeeks.org/problems/find-the-number-of-islands/1	Graphs		Medium
Prim's Algo	https://www.geeksforgeeks.org/prims-minimum-spanning-tree-mst-greedy-algo-5/	Graphs		Medium
Negative Weighted Cycle	https://practice.geeksforgeeks.org/problems/negative-weight-cycle3504/1	Graphs		Medium
Floyd Warshall	https://practice.geeksforgeeks.org/problems/implementing-floyd-warshall2042/1	Graphs		Medium
Graph Coloring	https://www.geeksforgeeks.org/graph-coloring-applications/	Graphs		Medium
Snakes and Ladders	https://leetcode.com/problems/snakes-and-ladders/	Graphs		Medium
Kosaraju's Theorem	https://practice.geeksforgeeks.org/problems/strongly-connected-components-kosarajus-algo/1	Graphs		Medium
Journey to moon	https://www.hackerrank.com/challenges/journey-to-the-moon/problem	Graphs		Medium
Vertex Cover	https://www.geeksforgeeks.org/vertex-cover-problem-set-1-introduction-approximate-algorithm-2/	Graphs		Medium
M Coloring Problem	https://practice.geeksforgeeks.org/problems/m-coloring-problem-1587115620/1	Graphs		Medium
Cheapest Flights Within K Stops	https://leetcode.com/problems/cheapest-flights-within-k-stops/description/	Graphs		Medium
Find if there is a path of more than k length from a source	https://www.geeksforgeeks.org/find-if-there-is-a-path-of-more-than-k-length-from-a-source/	Graphs		Medium
Bellman Ford	https://www.geeksforgeeks.org/detect-negative-cycle-graph-bellman-ford/	Graphs		Medium
Bipartitie Graph	https://www.geeksforgeeks.org/bipartite-graph/	Graphs		Medium
Word-Ladder	https://leetcode.com/problems/word-ladder/	Graphs		Hard
Allen Dictionary	https://practice.geeksforgeeks.org/problems/alien-dictionary/1	Graphs		Hard
Kruskals MST	https://www.geeksforgeeks.org/kruskals-minimum-spanning-tree-algorithm-greedy-algo-2/	Graphs		Hard
Total number spanning trees graph	https://www.geeksforgeeks.org/total-number-spanning-trees-graph/	Graphs		Hard
Travelling Salesman	https://www.geeksforgeeks.org/travelling-salesman-problem-set-1/	Graphs		Hard
Find longest path directed acyclic graph	https://www.geeksforgeeks.org/find-longest-path-directed-acyclic-graph/	Graphs		Hard
Two Clique Problem	https://www.geeksforgeeks.org/two-clique-problem-check-graph-can-divided-two-cliques/	Graphs		Hard
Minimise the cash flow	https://www.geeksforgeeks.org/minimize-cash-flow-among-given-set-friends-borrowed-money/	Graphs		Hard
Chinese postman	https://www.geeksforgeeks.org/chinese-postman-route-inspection-set-1-introduction/	Graphs		Hard
Water Jug	https://www.geeksforgeeks.org/water-jug-problem-using-bfs/	Graphs		Hard
Water Jug 2	https://www.geeksforgeeks.org/water-jug-problem-using-bfs/	Graphs		Hard
Construct a trie from scratch	https://www.geeksforgeeks.org/trie-insert-and-search/	Tries		Medium
Print unique rows in a given boolean matrix	https://practice.geeksforgeeks.org/problems/unique-rows-in-boolean-matrix/1	Tries		Medium
Word Break Problem | (Trie solution)	https://www.geeksforgeeks.org/word-break-problem-trie-solution/	Tries		Medium
Given a sequence of words, print all anagrams together	https://practice.geeksforgeeks.org/problems/k-anagrams-1/0	Tries		Medium
Find shortest unique prefix for every word in a given list	https://www.geeksforgeeks.org/find-all-shortest-unique-prefixes-to-represent-each-word-in-a-given-list/	Tries		Hard
Implement a Phone Directory	https://practice.geeksforgeeks.org/problems/phone-directory/0	Tries		Hard
Knapsack with Duplicate Items	https://practice.geeksforgeeks.org/problems/knapsack-with-duplicate-items4201/1	DP		Easy
BBT counter	https://practice.geeksforgeeks.org/problems/bbt-counter4914/1	DP		Easy
Reach a given score	https://practice.geeksforgeeks.org/problems/reach-a-given-score-1587115621/1	DP		Easy
Maximum difference of zeros and ones in binary string	https://practice.geeksforgeeks.org/problems/maximum-difference-of-zeros-and-ones-in-binary-string4111/1	DP		Easy
Climbing Stairs	https://leetcode.com/problems/climbing-stairs/	DP		Easy
Permutation Coefficient	https://www.geeksforgeeks.org/permutation-coefficient/	DP		Easy
Longest Repeating Subsequence	https://practice.geeksforgeeks.org/problems/longest-repeating-subsequence2004/1	DP		Easy
Pairs with specific difference	https://practice.geeksforgeeks.org/problems/pairs-with-specific-difference1533/1	DP		Easy
Longest subsequence-1	https://practice.geeksforgeeks.org/problems/longest-subsequence-such-that-difference-between-adjacents-is-one4724/1	DP		Easy
Coin Change	https://leetcode.com/problems/coin-change/	DP		Medium
LIS	https://leetcode.com/problems/longest-increasing-subsequence/	DP		Medium
Longest Common Subsequence	https://leetcode.com/problems/longest-common-subsequence/	DP		Medium
Word Break	https://leetcode.com/problems/word-break/	DP		Medium
Combination Sum IV	https://leetcode.com/problems/combination-sum-iv/	DP		Medium
House Robber	https://leetcode.com/problems/house-robber/	DP		Medium
Houe Robber 2	https://leetcode.com/problems/house-robber-ii/	DP		Medium
Decode Ways	https://leetcode.com/problems/decode-ways/	DP		Medium
Unique Paths	https://leetcode.com/problems/unique-paths/	DP		Medium
Jumps Game	https://leetcode.com/problems/jump-game/	DP		Medium
Knapsack Problem	https://practice.geeksforgeeks.org/problems/0-1-knapsack-problem0945/1	DP		Medium
nCr	https://practice.geeksforgeeks.org/problems/ncr1019/1	DP		Medium
Catalan Number	https://www.geeksforgeeks.org/program-nth-catalan-number/	DP		Medium
Edit Distance	https://practice.geeksforgeeks.org/problems/edit-distance3702/1	DP		Medium
Subset Sum	https://practice.geeksforgeeks.org/problems/subset-sum-problem2014/1	DP		Medium
Gold mine	https://www.geeksforgeeks.org/gold-mine-problem/	DP		Medium
Assembly Line Scheduling	https://www.geeksforgeeks.org/assembly-line-scheduling-dp-34/	DP		Medium
Maximize The Cut Segments	https://practice.geeksforgeeks.org/problems/cutted-segments1642/1	DP		Medium
Maximum sum increasing subsequence	https://practice.geeksforgeeks.org/problems/maximum-sum-increasing-subsequence4749/1	DP		Medium
Count all subsequences having product less than K	https://www.geeksforgeeks.org/count-subsequences-product-less-k/	DP		Medium
Maximum sum increasing subsequence	https://www.geeksforgeeks.org/maximum-subsequence-sum-such-that-no-three-are-consecutive/	DP		Medium
Egg dropping puzzle	https://practice.geeksforgeeks.org/problems/egg-dropping-puzzle-1587115620/1	DP		Medium
Max length chain	https://practice.geeksforgeeks.org/problems/max-length-chain/1	DP		Medium
Largest Square in Matrix	https://practice.geeksforgeeks.org/problems/largest-square-formed-in-a-matrix0806/1	DP		Medium
Maximum Path Sum	https://practice.geeksforgeeks.org/problems/path-in-matrix3805/1	DP		Medium
Minimum Number of Jumps	https://practice.geeksforgeeks.org/problems/minimum-number-of-jumps-1587115620/1	DP		Medium
Minimum removals from array to make max – min <= K	http://geeksforgeeks.org/minimum-removals-array-make-max-min-k/	DP		Medium
Longest Common Substring	https://practice.geeksforgeeks.org/problems/longest-common-substring1452/1	DP		Medium
Partition Equal Subset Sum	https://practice.geeksforgeeks.org/problems/subset-sum-problem2014/1	DP		Medium
Longest Palindromic Subsequnce	https://www.geeksforgeeks.org/longest-palindromic-subsequence-dp-12/	DP		Medium
Count Palindromic Subsequences	https://practice.geeksforgeeks.org/problems/count-palindromic-subsequences/1	DP		Medium
Longest Palindromic Substring	https://leetcode.com/problems/longest-palindromic-substring/	DP		Medium
Longest Alternating Sequence	https://practice.geeksforgeeks.org/problems/longest-alternating-subsequence5951/1	DP		Medium
Weighted Job Scheduling	https://www.geeksforgeeks.org/weighted-job-scheduling/	DP		Medium
Coin Game	https://www.geeksforgeeks.org/coin-game-winner-every-player-three-choices/	DP		Medium
Coin Game Winner	https://www.geeksforgeeks.org/count-derangements-permutation-such-that-no-element-appears-in-its-original-position/	DP		Medium
Optimal Strategy for a game	https://practice.geeksforgeeks.org/problems/optimal-strategy-for-a-game-1587115620/1	DP		Medium
Word Wrap	https://practice.geeksforgeeks.org/problems/word-wrap1646/1	DP		Medium
Mobile numeric keypad	https://practice.geeksforgeeks.org/problems/mobile-numeric-keypad5456/1	DP		Medium
Maximum Length of Pair Chain	https://leetcode.com/problems/maximum-length-of-pair-chain/	DP		Medium
Matrix Chain Multiplication	https://www.geeksforgeeks.org/matrix-chain-multiplication-dp-8/	DP		Hard
Maximum profit by buying and selling a share at most twice	https://www.geeksforgeeks.org/maximum-profit-by-buying-and-selling-a-share-at-most-twice/	DP		Hard
Optimal BST	https://www.geeksforgeeks.org/optimal-binary-search-tree-dp-24/	DP		Hard
Largest Submatrix with sum 0	https://www.geeksforgeeks.org/largest-rectangular-sub-matrix-whose-sum-0/	DP		Hard
Largest area rectangular sub-matrix with equal number of 1’s and 0’s	https://www.geeksforgeeks.org/largest-area-rectangular-sub-matrix-equal-number-1s-0s/	DP		Hard
Count set bits in an integer	https://practice.geeksforgeeks.org/problems/set-bits0143/1	Bit Manipulation		Easy
Find the two non-repeating elements in an array of repeating elements	https://practice.geeksforgeeks.org/problems/finding-the-numbers0215/1	Bit Manipulation		Easy
Program to find whether a no is power of two	https://practice.geeksforgeeks.org/problems/power-of-2/0	Bit Manipulation		Easy
Find position of the only set bit	https://practice.geeksforgeeks.org/problems/find-position-of-set-bit3706/1	Bit Manipulation		Easy
Count number of bits to be flipped to convert A to B	https://practice.geeksforgeeks.org/problems/bit-difference/0	Bit Manipulation		Easy
Count total set bits in all numbers from 1 to n	https://practice.geeksforgeeks.org/problems/count-total-set-bits/0	Bit Manipulation		Medium
Copy set bits in a range	https://www.geeksforgeeks.org/copy-set-bits-in-a-range/	Bit Manipulation		Medium
Calculate square of a number without using *, / and pow()	https://www.geeksforgeeks.org/calculate-square-of-a-number-without-using-and-pow/	Bit Manipulation		Medium
Divide two integers without using multiplication, division and mod operator	https://www.geeksforgeeks.org/divide-two-integers-without-using-multiplication-division-mod-operator/	Bit Manipulation		Medium
Power Set	https://practice.geeksforgeeks.org/problems/power-set4302/1	Bit Manipulation		Medium
Range Sum Query - Immutable	https://leetcode.com/problems/range-sum-query-immutable/	Segment Trees		Medium
Range Minimum Query	https://cp-algorithms.com/sequences/rmq.html	Segment Trees		Medium
Range Sum Query - Mutable	https://leetcode.com/problems/range-sum-query-mutable/	Segment Trees		Medium
Create Sorted Array through Instructions	https://leetcode.com/problems/create-sorted-array-through-instructions/	Segment Trees		Hard
Count of Range Sum	https://leetcode.com/problems/count-of-range-sum/	Segment Trees		Hard
Count of Smaller Numbers After Self	https://leetcode.com/problems/count-of-smaller-numbers-after-self/	Segment Trees		Hard
